id_venta,producto,precio_unitario,cantidad,fecha_venta,categoria,venta_neta,mes,nombre_mes
792,Cuadro decorativo,69.94,5,2024-01-02,Decoración,349.7,1,January
811,Lámpara de mesa,105.1,5,2024-01-02,Decoración,525.5,1,January
1156,Secadora,97.96,3,2024-01-02,Electrodomésticos,293.88,1,January
1372,Heladera,114.35,8,2024-01-02,Electrodomésticos,914.8,1,January
1546,Secadora,106.21,4,2024-01-02,Electrodomésticos,424.84,1,January
1697,Horno eléctrico,35.35,9,2024-01-02,Electrodomésticos,318.15000000000003,1,January
1710,Plancha de vapor,65.43,2,2024-01-02,Electrodomésticos,130.86,1,January
2959,Proyector,88.17,9,2024-01-02,Electrónica,793.53,1,January
318,Rincón de plantas,79.86,11,2024-01-03,Decoración,878.46,1,January
419,Candelabro,66.11,8,2024-01-03,Decoración,528.88,1,January
1374,Aspiradora,95.9,5,2024-01-03,Electrodomésticos,479.5,1,January
1571,Freidora eléctrica,111.18,1,2024-01-03,Electrodomésticos,111.18,1,January
1814,Aspiradora,70.91,2,2024-01-03,Electrodomésticos,141.82,1,January
2769,Proyector,43.62,11,2024-01-03,Electrónica,479.82,1,January
2794,Tablet,67.97,9,2024-01-03,Electrónica,611.73,1,January
2824,Tablet,74.09,5,2024-01-03,Electrónica,370.45000000000005,1,January
446,Cortinas,62.1,4,2024-01-04,Decoración,248.4,1,January
630,Adorno de pared,71.99,9,2024-01-04,Decoración,647.91,1,January
794,Jarrón decorativo,96.97,7,2024-01-04,Decoración,678.79,1,January
882,Cuadro decorativo,101.92,9,2024-01-04,Decoración,917.28,1,January
969,Candelabro,90.7,12,2024-01-04,Decoración,1088.4,1,January
1445,Lavadora,28.41,10,2024-01-04,Electrodomésticos,284.1,1,January
1971,Freidora eléctrica,122.25,11,2024-01-04,Electrodomésticos,1344.75,1,January
2209,Proyector,32.15,1,2024-01-04,Electrónica,32.15,1,January
256,Cortinas,86.82,8,2024-01-05,Decoración,694.56,1,January
